Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Hours_Studied,Attendance,Grade,Previous_Grade
1,3,0,7,1,1,0,1,2,1,1,3,0,1,1,0,2,2,7,6
1,2,0,8,1,1,2,2,2,1,0,4,0,2,2,1,1,1,8,8
2,2,1,7,2,1,2,2,2,1,-1,4,0,3,1,0,2,3,6,2
1,2,1,8,2,1,1,2,2,1,0,4,0,1,2,0,3,2,6,1
2,2,1,6,2,1,3,2,3,1,-1,4,0,2,1,1,1,3,6,7
2,2,1,8,2,1,3,2,2,1,1,3,0,3,1,0,1,2,6,3
2,1,1,7,1,1,1,1,2,2,-1,2,0,1,2,0,3,2,7,7
1,3,1,6,2,1,1,3,3,1,0,2,0,1,3,0,2,1,7,8
2,3,0,6,3,1,0,2,1,2,-1,1,0,2,1,0,1,3,7,4
2,2,1,8,2,1,0,3,3,1,1,5,0,1,2,0,2,3,6,6
1,3,0,8,2,0,4,2,3,2,-1,4,0,2,2,0,1,2,7,3
2,3,1,6,1,1,2,1,3,2,-1,2,0,1,1,0,1,3,6,3
2,2,1,8,1,1,2,2,2,1,1,4,0,1,1,0,2,2,6,1
2,2,1,8,2,1,2,2,2,2,1,3,0,3,1,0,1,2,7,6
2,3,1,8,2,1,1,1,2,2,-1,4,0,3,1,0,1,1,7,6
2,2,0,8,2,1,2,2,2,2,1,4,0,1,1,1,1,1,8,6
2,1,1,10,1,1,0,3,2,2,1,3,0,2,1,0,1,1,8,7
1,2,1,6,2,1,1,1,3,1,-1,3,0,1,1,1,2,1,7,4
2,2,1,9,1,1,3,1,2,1,1,2,0,2,2,1,1,2,7,2
2,3,1,7,2,1,3,2,2,2,1,4,0,2,1,0,1,1,7,8
2,2,0,5,3,1,0,3,2,1,0,1,0,1,2,1,3,1,7,1
2,3,0,6,2,1,1,2,3,1,-1,3,0,1,1,0,1,3,6,4
2,3,0,8,1,1,1,2,2,1,0,2,0,2,2,1,2,1,7,3
3,2,1,8,3,1,1,1,2,1,-1,3,0,1,2,0,1,1,7,8
1,3,1,5,2,1,2,1,2,1,1,3,0,1,1,1,1,1,8,5
3,1,1,6,3,1,0,3,3,1,1,3,0,3,3,0,2,1,8,8
1,2,0,6,2,1,1,3,2,1,0,2,1,1,2,1,1,3,7,2
3,3,1,6,2,1,0,3,2,1,-1,2,0,2,2,0,2,2,6,2
2,2,0,4,2,1,1,1,2,1,-1,3,0,1,2,1,1,3,7,8
3,3,0,4,1,1,2,1,2,2,-1,2,0,2,1,0,1,1,8,8
1,2,0,6,2,1,0,3,1,1,1,4,1,1,1,1,1,2,8,8
2,3,1,7,2,1,1,3,2,1,0,3,0,2,1,0,3,1,7,7
2,2,1,8,2,1,2,2,3,1,1,3,0,1,1,0,2,1,7,1
3,2,0,5,2,1,2,2,2,1,-1,3,0,2,1,1,1,1,8,8
3,2,0,5,2,1,2,2,2,1,1,3,0,2,2,1,2,1,7,2
1,2,0,6,1,1,1,1,2,1,0,3,0,1,1,0,1,1,8,2
2,1,1,7,1,1,2,2,3,1,1,3,0,1,3,1,2,1,8,2
2,2,0,9,1,1,2,1,2,1,-1,5,0,3,1,1,1,3,7,8
1,2,1,8,2,1,1,1,2,1,1,5,0,1,1,1,1,1,8,4
1,2,1,6,1,1,1,2,3,1,0,4,0,1,1,0,2,1,8,1
3,2,0,8,1,1,3,3,3,1,-1,1,0,2,1,0,2,1,7,8
2,2,1,6,1,1,1,2,3,1,-1,2,1,2,3,1,2,2,7,8
1,3,0,7,2,1,1,2,2,2,1,3,0,1,2,0,1,1,8,2
2,3,1,7,2,1,3,2,2,2,0,2,1,2,1,0,1,3,6,4
2,2,1,9,1,1,1,2,2,2,1,3,0,3,3,0,1,3,7,4
2,2,1,8,2,1,2,2,2,1,1,3,0,1,2,0,1,1,7,1
2,2,1,6,2,1,1,2,3,2,1,3,0,2,1,1,1,1,7,3
2,1,1,6,2,1,2,1,2,1,1,3,0,1,2,1,3,1,8,6
1,2,1,7,1,1,3,1,3,1,1,2,0,1,2,0,2,2,7,6
2,2,0,5,2,1,2,2,3,1,-1,3,0,1,1,0,1,1,8,8
1,2,1,7,1,1,1,2,1,1,1,4,0,2,2,0,2,1,8,7
3,2,0,7,2,1,0,2,2,1,-1,3,0,2,1,0,1,1,8,6
1,2,1,8,2,1,2,2,2,1,1,4,0,1,1,0,1,2,7,8
3,1,0,8,2,1,0,2,2,1,-1,3,0,1,1,1,2,1,7,1
2,3,1,7,1,1,2,3,3,2,-1,4,1,3,3,1,3,1,7,8
2,3,1,5,2,1,1,1,3,2,1,4,0,2,2,0,3,2,6,5
2,3,0,5,1,0,1,2,3,1,-1,2,1,1,1,1,1,2,7,3
2,2,1,6,3,1,1,2,2,1,1,4,0,1,1,0,1,3,6,3
3,1,0,8,2,1,2,2,3,1,1,1,0,3,1,1,2,1,7,4
